"the_geom","Street","TrafDir","SegmentID","RW_TYPE","StreetWidt","Boro","Facility","Direction","Hours","Days","Days_Code","Lane_width","Lane_Type1","Lane_Type","Lane_Descr","Lane_Color","SBS_Route1","SBS_Route2","SBS_Route3","Open_dates","Year1","Year2","Year3","Last_Updat","Chron_ID_1","Shape_Leng","Shape_Le_1","Mid_Block"
"MULTILINESTRING ((-73.83013959526089 40.75957044588257, -73.82984159782288 40.75896228041565))","MAIN STREET","T","0091197","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","236.454442805","MULTILINESTRING ((1031306.9189974219 216054.33500142395, 1031389.9043957591 215832.9210741669))",
"MULTILINESTRING ((-73.83074355921944 40.760793690207, -73.83048331323228 40.76027105894416))","MAIN STREET","T","0091193","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","203.603547077","MULTILINESTRING ((1031138.7401999235 216499.6782708317, 1031211.2039657533 216309.40634167194))",
"MULTILINESTRING ((-73.83048331323228 40.76027105894416, -73.83013959526089 40.75957044588257))","MAIN STREET","T","0091195","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","272.438536031","MULTILINESTRING ((1031211.2039657533 216309.40634167194, 1031306.9189974219 216054.33500142395))",
"MULTILINESTRING ((-73.83048331323228 40.76027105894416, -73.83013959526089 40.75957044588257))","MAIN STREET","T","0091195","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","272.438536031","MULTILINESTRING ((1031211.2039657533 216309.40634167194, 1031306.9189974219 216054.33500142395))",
"MULTILINESTRING ((-73.83111884553036 40.76154813573542, -73.83074355921944 40.760793690207))","MAIN STREET","T","0091191","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","293.873555468","MULTILINESTRING ((1031034.2456582636 216774.34635667503, 1031138.7401999235 216499.6782708317))",
"MULTILINESTRING ((-73.83188162577709 40.762828987524074, -73.83111884553036 40.76154813573542))","MAIN STREET","T","0179237","1","0","QNS","Main Street","NB","24 Hours","7 Days/Week","7","Single","Shared Lane","Busway",,,,,,"01/19/2021","2021","0","0","12/15/2021","QNS2021","512.2683456","MULTILINESTRING ((1030822.0413582623 217240.59542417526, 1031034.2456582636 216774.34635667503))",
"MULTILINESTRING ((-73.8646456129254 40.823421712926624, -73.86453527453858 40.823436351506196))","STORY AVENUE","T","9004330","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","31.000304141","MULTILINESTRING ((1021711.6796577573 239300.87282584608, 1021742.209452346 239306.25339250267))",
"MULTILINESTRING ((-73.86453527453858 40.823436351506196, -73.86416934631337 40.82348489546827))","STORY AVENUE","T","9004331","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","102.809691731","MULTILINESTRING ((1021742.209452346 239306.25339250267, 1021843.4589217603 239324.09653267264))",
"MULTILINESTRING ((-73.86416934631337 40.82348489546827, -73.86407591867756 40.82349728967788))","STORY AVENUE","T","9004332","1","0","BX","Story Avenue","EB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","26.2490407042","MULTILINESTRING ((1021843.4589217603 239324.09653267264, 1021869.3095918447 239328.65229783952))",
"MULTILINESTRING ((-73.86416934631337 40.82348489546827, -73.86407591867756 40.82349728967788))","STORY AVENUE","T","9004332","1","0","BX","Story Avenue","WB","7AM-9PM","Mon - Fri","5","Single","Shared Lane","Curbside",,,,,,"12/03/2021","2021","0","0","12/15/2021","BX2021","26.2490407042","MULTILINESTRING ((1021843.4589217603 239324.09653267264, 1021869.3095918447 239328.65229783952))",
